고객ID,Recency_Grade,Frequency_Grade,Monetary_Grade,Customer_Segment
USER_0000,3,1,1,3
USER_0001,3,3,3,1
USER_0002,3,2,2,3
USER_0003,4,2,2,3
USER_0004,3,3,2,1
USER_0005,3,2,1,3
USER_0006,2,3,3,2
USER_0007,4,2,1,3
USER_0008,4,3,3,1
USER_0009,3,3,3,1
USER_0010,2,1,1,0
USER_0011,3,2,1,3
USER_0012,3,2,2,3
USER_0013,2,2,2,0
USER_0014,3,1,1,3
USER_0015,4,2,3,1
USER_0016,3,2,2,3
USER_0017,4,1,1,3
USER_0018,2,3,3,2
USER_0019,3,2,2,3
USER_0020,3,1,2,3
USER_0021,3,2,2,3
USER_0022,2,2,1,0
USER_0023,2,1,1,0
USER_0024,1,2,2,0
USER_0025,4,3,3,1
USER_0026,1,4,4,2
USER_0027,1,1,1,0
USER_0028,4,2,2,3
USER_0029,1,1,2,0
USER_0030,3,3,4,1
USER_0031,4,1,2,3
USER_0032,4,1,2,3
USER_0033,4,4,4,1
USER_0034,3,4,4,1
USER_0035,3,3,3,1
USER_0036,4,2,3,1
USER_0037,4,1,1,3
USER_0038,2,3,2,2
USER_0039,2,3,3,2
USER_0040,2,2,2,0
USER_0041,2,3,3,2
USER_0042,2,2,1,0
USER_0043,3,3,3,1
USER_0044,2,1,1,0
USER_0045,2,1,1,0
USER_0046,4,4,4,1
USER_0047,4,2,3,1
USER_0048,2,1,1,0
USER_0049,3,2,2,3
USER_0050,2,2,2,0
USER_0051,3,1,1,3
USER_0052,2,2,1,0
USER_0053,3,1,2,3
USER_0054,4,2,3,1
USER_0055,2,2,2,0
USER_0056,4,4,4,1
USER_0057,4,3,3,1
USER_0058,2,1,2,0
USER_0059,3,3,2,1
USER_0060,2,1,1,0
USER_0061,4,2,3,1
USER_0062,4,4,4,1
USER_0063,4,1,2,3
USER_0064,2,3,3,2
USER_0065,3,3,3,1
USER_0066,2,3,3,2
USER_0067,2,3,3,2
USER_0068,1,1,1,0
USER_0069,3,2,3,1
USER_0070,3,1,1,3
USER_0071,4,2,1,3
USER_0072,2,1,1,0
USER_0073,1,1,1,0
USER_0074,3,2,1,3
USER_0075,2,2,3,2
USER_0076,4,3,3,1
USER_0077,4,3,3,1
USER_0078,3,3,3,1
USER_0079,2,1,1,0
USER_0080,4,2,2,3
USER_0081,2,3,3,2
USER_0082,1,1,1,0
USER_0083,2,1,2,0
USER_0084,3,3,3,1
USER_0085,4,2,3,1
USER_0086,3,1,1,3
USER_0087,3,1,1,3
USER_0088,2,1,1,0
USER_0089,4,3,3,1
USER_0090,3,1,1,3
USER_0091,3,2,2,3
USER_0092,4,1,2,3
USER_0093,2,1,1,0
USER_0094,4,4,4,1
USER_0095,4,4,4,1
USER_0096,3,3,3,1
USER_0097,1,1,2,0
USER_0098,3,2,1,3
USER_0099,3,1,2,3
USER_0100,2,2,2,0
USER_0101,3,2,3,1
USER_0102,4,2,3,1
USER_0103,4,3,3,1
USER_0104,4,3,3,1
USER_0105,2,2,2,0
USER_0106,2,1,1,0
USER_0107,1,2,2,0
USER_0108,4,2,2,3
USER_0109,3,1,2,3
USER_0110,2,2,1,0
USER_0111,4,3,3,1
USER_0112,2,1,1,0
USER_0113,4,3,3,1
USER_0114,2,1,1,0
USER_0115,1,1,2,0
USER_0116,3,3,3,1
USER_0117,3,2,2,3
USER_0118,3,4,4,1
USER_0119,2,3,2,2
USER_0120,4,3,3,1
USER_0121,1,1,1,0
USER_0122,1,2,2,0
USER_0123,4,3,3,1
USER_0124,2,3,3,2
USER_0125,4,2,2,3
USER_0126,4,1,1,3
USER_0127,4,3,3,1
USER_0128,3,3,3,1
USER_0129,1,2,1,0
USER_0130,1,1,1,0
USER_0131,2,2,3,2
USER_0132,2,2,1,0
USER_0133,1,1,1,0
USER_0134,3,1,1,3
USER_0135,4,3,3,1
USER_0136,3,1,2,3
USER_0137,4,3,3,1
USER_0138,1,3,3,2
USER_0139,2,3,3,2
USER_0140,4,3,4,1
USER_0141,4,2,3,1
USER_0142,4,2,2,3
USER_0143,3,3,3,1
USER_0144,1,1,1,0
USER_0145,2,1,1,0
USER_0146,2,3,3,2
USER_0147,4,3,3,1
USER_0148,1,1,1,0
USER_0149,3,3,3,1
USER_0150,1,1,1,0
USER_0151,3,2,2,3
USER_0152,4,1,1,3
USER_0153,1,1,1,0
USER_0154,1,2,2,0
USER_0155,3,3,3,1
USER_0156,2,3,3,2
USER_0157,3,1,1,3
USER_0158,2,2,1,0
USER_0159,4,1,2,3
USER_0160,2,1,1,0
USER_0161,3,2,3,1
USER_0162,2,1,1,0
USER_0163,1,2,1,0
USER_0164,2,2,2,0
USER_0165,3,3,3,1
USER_0166,3,2,2,3
USER_0167,4,2,3,1
USER_0168,2,2,2,0
USER_0169,1,2,2,0
USER_0170,2,2,2,0
USER_0171,3,1,1,3
USER_0172,4,3,3,1
USER_0173,3,1,2,3
USER_0174,3,1,1,3
USER_0175,4,1,1,3
USER_0176,4,2,2,3
USER_0177,1,1,2,0
USER_0178,3,3,3,1
USER_0179,3,1,1,3
USER_0180,4,3,3,1
USER_0181,3,2,2,3
USER_0182,1,1,1,0
USER_0183,1,3,3,2
USER_0184,2,1,1,0
USER_0185,2,1,1,0
USER_0186,2,1,1,0
USER_0187,1,3,3,2
USER_0188,2,1,1,0
USER_0189,1,1,1,0
USER_0190,4,3,3,1
USER_0191,3,3,3,1
USER_0192,3,1,1,3
USER_0193,4,3,4,1
USER_0194,3,1,1,3
USER_0195,1,2,2,0
USER_0196,3,1,1,3
USER_0197,4,4,3,1
USER_0198,1,2,2,0
USER_0199,4,3,3,1
USER_0200,3,4,4,1
USER_0201,2,1,2,0
USER_0202,4,4,4,1
USER_0203,3,2,2,3
USER_0204,2,1,1,0
USER_0205,4,4,4,1
USER_0206,2,1,1,0
USER_0207,2,3,3,2
USER_0208,3,2,2,3
USER_0209,4,3,3,1
USER_0210,2,1,1,0
USER_0211,3,2,2,3
USER_0212,1,1,1,0
USER_0213,4,2,2,3
USER_0214,4,3,3,1
USER_0215,2,1,1,0
USER_0216,3,3,2,1
USER_0217,2,3,3,2
USER_0218,2,2,2,0
USER_0219,1,1,1,0
USER_0220,4,3,3,1
USER_0221,1,2,2,0
USER_0222,1,2,1,0
USER_0223,4,2,3,1
USER_0224,2,1,1,0
USER_0225,1,1,1,0
USER_0226,4,4,4,1
USER_0227,3,3,3,1
USER_0228,3,2,3,1
USER_0229,4,1,1,3
USER_0230,3,3,3,1
USER_0231,2,2,1,0
USER_0232,3,3,3,1
USER_0233,1,2,3,2
USER_0234,4,4,4,1
USER_0235,2,2,2,0
USER_0236,2,2,2,0
USER_0237,2,3,2,2
USER_0238,3,3,3,1
USER_0239,4,2,2,3
USER_0240,4,2,2,3
USER_0241,3,2,1,3
USER_0242,1,1,1,0
USER_0243,2,3,3,2
USER_0244,2,1,1,0
USER_0245,4,3,3,1
USER_0246,2,2,2,0
USER_0247,2,1,1,0
USER_0248,1,2,2,0
USER_0249,3,3,2,1
USER_0250,2,2,1,0
USER_0251,1,1,2,0
USER_0252,3,3,3,1
USER_0253,2,1,1,0
USER_0254,3,3,3,1
USER_0255,1,2,3,2
USER_0256,1,1,1,0
USER_0257,4,3,3,1
USER_0258,3,2,1,3
USER_0259,2,1,1,0
USER_0260,2,2,1,0
USER_0261,1,1,1,0
USER_0262,4,3,3,1
USER_0263,3,2,2,3
USER_0264,2,2,1,0
USER_0265,2,2,2,0
USER_0266,2,3,3,2
USER_0267,4,1,2,3
USER_0268,1,2,2,0
USER_0269,4,2,2,3
USER_0270,2,1,1,0
USER_0271,4,2,2,3
USER_0272,2,1,1,0
USER_0273,2,2,2,0
USER_0274,1,3,3,2
USER_0275,3,3,3,1
USER_0276,4,2,2,3
USER_0277,4,2,2,3
USER_0278,2,1,1,0
USER_0279,1,2,2,0
USER_0280,3,1,1,3
USER_0281,4,3,3,1
USER_0282,2,3,3,2
USER_0283,2,2,2,0
USER_0284,1,3,3,2
USER_0285,2,3,2,2
USER_0286,3,3,3,1
USER_0287,3,3,3,1
USER_0288,4,3,3,1
USER_0289,3,2,1,3
USER_0290,1,1,1,0
USER_0291,2,1,1,0
USER_0292,4,4,4,1
USER_0293,4,3,3,1
USER_0294,4,2,2,3
USER_0295,2,2,2,0
USER_0296,2,2,2,0
USER_0297,1,1,2,0
USER_0298,3,1,1,3
USER_0299,4,2,3,1
USER_0300,3,2,3,1
USER_0301,1,2,2,0
USER_0302,3,1,1,3
USER_0303,1,1,3,0
USER_0304,4,3,3,1
USER_0305,4,1,1,3
USER_0306,4,1,2,3
USER_0307,3,1,2,3
USER_0308,4,1,1,3
USER_0309,2,3,3,2
USER_0310,2,2,2,0
USER_0311,1,2,2,0
USER_0312,4,3,2,1
USER_0313,1,1,1,0
USER_0314,4,1,2,3
USER_0315,4,2,3,1
USER_0316,2,3,3,2
USER_0317,3,2,2,3
USER_0318,4,2,2,3
USER_0319,4,1,1,3
USER_0320,2,2,2,0
USER_0321,3,1,1,3
USER_0322,4,2,2,3
USER_0323,2,2,2,0
USER_0324,4,1,2,3
USER_0325,3,3,2,1
USER_0326,1,2,1,0
USER_0327,1,2,1,0
USER_0328,2,2,2,0
USER_0329,3,3,3,1
USER_0330,4,3,3,1
USER_0331,2,1,1,0
USER_0332,2,3,3,2
USER_0333,3,1,1,3
USER_0334,4,3,3,1
USER_0335,3,2,2,3
USER_0336,3,1,1,3
USER_0337,1,1,1,0
USER_0338,4,2,3,1
USER_0339,4,2,2,3
USER_0340,2,3,3,2
USER_0341,4,3,3,1
USER_0342,4,1,2,3
USER_0343,3,3,3,1
USER_0344,1,1,1,0
USER_0345,1,1,1,0
USER_0346,2,1,1,0
USER_0347,3,1,2,3
USER_0348,2,2,2,0
USER_0349,2,2,2,0
USER_0350,2,3,3,2
USER_0351,2,3,3,2
USER_0352,3,2,3,1
USER_0353,4,3,3,1
USER_0354,3,3,3,1
USER_0355,4,1,1,3
USER_0356,1,1,1,0
USER_0357,1,1,1,0
USER_0358,3,4,4,1
USER_0359,4,2,3,1
USER_0360,4,2,2,3
USER_0361,1,1,2,0
USER_0362,3,3,3,1
USER_0363,2,1,1,0
USER_0364,4,2,3,1
USER_0365,4,1,2,3
USER_0366,2,1,1,0
USER_0367,1,1,1,0
USER_0368,3,1,2,3
USER_0369,1,3,3,2
USER_0370,4,3,3,1
USER_0371,2,2,2,0
USER_0372,1,1,1,0
USER_0373,4,2,3,1
USER_0374,3,2,3,1
USER_0375,3,2,3,1
USER_0376,4,3,3,1
USER_0377,4,2,3,1
USER_0378,4,1,1,3
USER_0379,2,2,2,0
USER_0380,1,1,2,0
USER_0381,4,1,2,3
USER_0382,3,1,1,3
USER_0383,3,1,2,3
USER_0384,4,1,1,3
USER_0385,3,1,1,3
USER_0386,3,1,1,3
USER_0387,4,2,3,1
USER_0388,2,1,1,0
USER_0389,3,1,1,3
USER_0390,4,2,2,3
USER_0391,1,1,2,0
USER_0392,1,1,1,0
USER_0393,2,1,1,0
USER_0394,1,1,1,0
USER_0395,1,2,2,0
USER_0396,4,2,3,1
USER_0397,3,3,3,1
USER_0398,3,3,3,1
USER_0399,3,3,3,1
USER_0400,3,1,1,3
USER_0401,3,2,1,3
USER_0402,3,2,3,1
USER_0403,1,1,2,0
USER_0404,4,1,1,3
USER_0405,2,3,2,2
USER_0406,1,2,3,2
USER_0407,3,3,3,1
USER_0408,2,2,3,2
USER_0409,1,2,2,0
USER_0410,4,3,3,1
USER_0411,4,3,3,1
USER_0412,2,1,1,0
USER_0413,2,2,1,0
USER_0414,3,3,4,1
USER_0415,4,3,3,1
USER_0416,2,3,3,2
USER_0417,3,3,3,1
USER_0418,3,3,3,1
USER_0419,3,2,2,3
USER_0420,1,2,2,0
USER_0421,1,3,3,2
USER_0422,1,2,3,2
USER_0423,2,3,3,2
USER_0424,4,4,4,1
USER_0425,3,3,3,1
USER_0426,3,1,1,3
USER_0427,3,3,3,1
USER_0428,3,3,3,1
USER_0429,3,1,1,3
USER_0430,2,2,2,0
USER_0431,4,1,1,3
USER_0432,3,1,2,3
USER_0433,2,1,1,0
USER_0434,4,2,2,3
USER_0435,3,3,3,1
USER_0436,4,2,2,3
USER_0437,3,3,3,1
USER_0438,1,2,3,2
USER_0439,4,3,3,1
USER_0440,2,1,1,0
USER_0441,4,3,3,1
USER_0442,1,3,3,2
USER_0443,1,2,3,2
USER_0444,3,2,2,3
USER_0445,3,2,2,3
USER_0446,3,2,1,3
USER_0447,4,3,3,1
USER_0448,3,1,1,3
USER_0449,4,1,2,3
USER_0450,3,3,3,1
USER_0451,4,2,3,1
USER_0452,2,1,1,0
USER_0453,1,2,2,0
USER_0454,1,1,1,0
USER_0455,2,2,2,0
USER_0456,2,3,3,2
USER_0457,1,1,1,0
USER_0458,4,3,3,1
USER_0459,4,2,2,3
USER_0460,2,1,2,0
USER_0461,2,2,2,0
USER_0462,3,3,3,1
USER_0463,4,2,2,3
USER_0464,4,2,2,3
USER_0465,1,1,1,0
USER_0466,1,1,2,0
USER_0467,3,1,2,3
USER_0468,4,1,1,3
USER_0469,3,1,2,3
USER_0470,3,3,3,1
USER_0471,3,1,1,3
USER_0472,1,2,3,2
USER_0473,3,3,3,1
USER_0474,2,2,2,0
USER_0475,1,1,1,0
USER_0476,3,2,2,3
USER_0477,1,2,2,0
USER_0478,4,2,2,3
USER_0479,3,1,1,3
USER_0480,1,2,2,0
USER_0481,2,1,1,0
USER_0482,4,4,4,1
USER_0483,4,3,3,1
USER_0484,3,3,3,1
USER_0485,4,2,2,3
USER_0486,4,2,2,3
USER_0487,3,2,2,3
USER_0488,2,2,2,0
USER_0489,3,3,3,1
USER_0490,3,3,3,1
USER_0491,3,2,2,3
USER_0492,2,2,2,0
USER_0493,1,1,2,0
USER_0494,3,1,2,3
USER_0495,2,1,1,0
USER_0496,1,2,2,0
USER_0497,3,1,1,3
USER_0498,1,2,3,2
USER_0499,2,3,3,2
USER_0500,1,2,3,2
USER_0501,4,2,2,3
USER_0502,3,3,3,1
USER_0503,3,2,2,3
USER_0504,4,1,2,3
USER_0505,4,2,1,3
USER_0506,1,2,3,2
USER_0507,2,1,1,0
USER_0508,3,4,4,1
USER_0509,1,2,2,0
USER_0510,4,3,3,1
USER_0511,3,2,2,3
USER_0512,1,1,1,0
USER_0513,4,1,1,3
USER_0514,3,2,3,1
USER_0515,4,2,3,1
USER_0516,3,1,1,3
USER_0517,4,2,2,3
USER_0518,4,3,2,1
USER_0519,1,2,1,0
USER_0520,1,3,3,2
USER_0521,3,1,2,3
USER_0522,4,1,1,3
USER_0523,4,1,1,3
USER_0524,4,3,3,1
USER_0525,4,2,2,3
USER_0526,4,2,3,1
USER_0527,2,3,3,2
USER_0528,1,1,1,0
USER_0529,1,2,2,0
USER_0530,1,1,1,0
USER_0531,4,2,1,3
USER_0532,4,2,3,1
USER_0533,1,2,1,0
USER_0534,3,1,2,3
USER_0535,4,3,3,1
USER_0536,2,4,4,2
USER_0537,1,3,3,2
USER_0538,3,2,2,3
USER_0539,1,2,2,0
USER_0540,3,2,2,3
USER_0541,4,4,4,1
USER_0542,4,2,2,3
USER_0543,2,1,1,0
USER_0544,3,2,3,1
USER_0545,4,1,2,3
USER_0546,4,3,4,1
USER_0547,3,1,2,3
USER_0548,1,3,3,2
USER_0549,3,1,1,3
USER_0550,4,3,3,1
USER_0551,2,2,1,0
USER_0552,4,2,2,3
USER_0553,1,3,2,2
USER_0554,3,3,3,1
USER_0555,1,3,3,2
USER_0556,1,1,1,0
USER_0557,1,3,3,2
USER_0558,4,4,3,1
USER_0559,1,1,1,0
USER_0560,1,2,3,2
USER_0561,4,1,1,3
USER_0562,4,1,1,3
USER_0563,4,4,4,1
USER_0564,1,1,1,0
USER_0565,3,1,1,3
USER_0566,2,1,1,0
USER_0567,2,2,2,0
USER_0568,1,3,3,2
USER_0569,4,1,1,3
USER_0570,2,3,3,2
USER_0571,2,2,2,0
USER_0572,3,4,4,1
USER_0573,2,2,2,0
USER_0574,3,3,3,1
USER_0575,4,3,3,1
USER_0576,4,2,3,1
USER_0577,4,2,3,1
USER_0578,3,4,4,1
USER_0579,2,3,3,2
USER_0580,2,3,2,2
USER_0581,1,2,2,0
USER_0582,1,1,1,0
USER_0583,3,3,3,1
USER_0584,1,3,3,2
USER_0585,4,3,3,1
USER_0586,3,2,3,1
USER_0587,3,3,3,1
USER_0588,4,3,3,1
USER_0589,4,3,3,1
USER_0590,1,1,2,0
USER_0591,4,3,2,1
USER_0592,3,3,3,1
USER_0593,3,2,1,3
USER_0594,2,3,3,2
USER_0595,1,3,3,2
USER_0596,2,1,1,0
USER_0597,3,4,4,1
USER_0598,4,2,3,1
USER_0599,2,1,1,0
USER_0600,4,1,2,3
USER_0601,2,2,2,0
USER_0602,1,2,2,0
USER_0603,4,2,2,3
USER_0604,3,3,2,1
USER_0605,2,2,3,2
USER_0606,2,1,2,0
USER_0607,1,1,1,0
USER_0608,3,3,3,1
USER_0609,3,2,2,3
USER_0610,1,2,2,0
USER_0611,4,2,3,1
USER_0612,2,1,1,0
USER_0613,4,2,3,1
USER_0614,3,2,3,1
USER_0615,3,1,1,3
USER_0616,3,1,1,3
USER_0617,2,1,1,0
USER_0618,3,4,4,1
USER_0619,4,1,2,3
USER_0620,2,4,4,2
USER_0621,4,2,3,1
USER_0622,4,3,3,1
USER_0623,1,2,3,2
USER_0624,1,1,1,0
USER_0625,2,2,2,0
USER_0626,2,1,1,0
USER_0627,2,2,3,2
USER_0628,2,2,2,0
USER_0629,4,1,1,3
USER_0630,3,3,3,1
USER_0631,4,2,2,3
USER_0632,1,1,1,0
USER_0633,1,1,1,0
USER_0634,2,2,2,0
USER_0635,2,2,2,0
USER_0636,2,2,2,0
USER_0637,2,1,1,0
USER_0638,3,1,1,3
USER_0639,1,2,3,2
USER_0640,3,1,2,3
USER_0641,1,3,3,2
USER_0642,1,3,3,2
USER_0643,4,4,4,1
USER_0644,2,2,2,0
USER_0645,3,2,2,3
USER_0646,1,2,1,0
USER_0647,2,1,1,0
USER_0648,1,1,1,0
USER_0649,2,3,3,2
USER_0650,4,1,1,3
USER_0651,3,2,2,3
USER_0652,3,3,3,1
USER_0653,2,3,3,2
USER_0654,1,1,1,0
USER_0655,2,3,3,2
USER_0656,4,4,4,1
USER_0657,1,3,3,2
USER_0658,1,1,1,0
USER_0659,1,3,3,2
USER_0660,3,3,3,1
USER_0661,1,3,3,2
USER_0662,1,2,2,0
USER_0663,1,2,2,0
USER_0664,3,3,3,1
USER_0665,2,3,3,2
USER_0666,1,3,3,2
USER_0667,4,4,4,1
USER_0668,2,4,3,2
USER_0669,4,3,3,1
USER_0670,1,2,2,0
USER_0671,3,2,3,1
USER_0672,4,2,3,1
USER_0673,4,3,3,1
USER_0674,3,2,3,1
USER_0675,3,4,4,1
USER_0676,2,1,1,0
USER_0677,1,1,1,0
USER_0678,3,3,3,1
USER_0679,4,2,3,1
USER_0680,1,1,1,0
USER_0681,4,2,3,1
USER_0682,2,3,3,2
USER_0683,3,1,1,3
USER_0684,2,1,1,0
USER_0685,4,2,2,3
USER_0686,3,1,2,3
USER_0687,1,2,3,2
USER_0688,2,1,1,0
USER_0689,4,2,2,3
USER_0690,2,3,3,2
USER_0691,4,3,3,1
USER_0692,2,1,1,0
USER_0693,2,2,1,0
USER_0694,1,2,2,0
USER_0695,3,3,3,1
USER_0696,3,1,1,3
USER_0697,3,1,1,3
USER_0698,3,3,3,1
USER_0699,1,1,1,0
USER_0700,1,1,1,0
USER_0701,4,1,2,3
USER_0702,1,2,2,0
USER_0703,4,3,4,1
USER_0704,3,1,1,3
USER_0705,4,1,1,3
USER_0706,4,2,1,3
USER_0707,2,1,1,0
USER_0708,2,1,1,0
USER_0709,1,2,2,0
USER_0710,3,2,1,3
USER_0711,3,1,1,3
USER_0712,3,2,3,1
USER_0713,1,1,1,0
USER_0714,3,1,2,3
USER_0715,2,2,1,0
USER_0716,4,1,1,3
USER_0717,3,2,2,3
USER_0718,4,3,3,1
USER_0719,4,2,2,3
USER_0720,2,1,1,0
USER_0721,1,2,2,0
USER_0722,3,1,2,3
USER_0723,2,1,1,0
USER_0724,4,2,1,3
USER_0725,2,3,3,2
USER_0726,2,2,2,0
USER_0727,3,3,3,1
USER_0728,1,2,3,2
USER_0729,3,2,1,3
USER_0730,3,3,2,1
USER_0731,3,3,3,1
