고객ID,Recency_Grade,Frequency_Grade,Monetary_Grade,Customer_Segment
USER_0732,3,3,2,1
USER_0733,1,1,1,0
USER_0734,1,3,3,2
USER_0735,1,1,1,0
USER_0736,4,4,4,1
USER_0737,2,2,1,0
USER_0738,3,1,1,3
USER_0739,2,2,2,0
USER_0740,1,1,1,0
USER_0741,1,3,3,2
USER_0742,3,3,3,1
USER_0743,2,2,1,0
USER_0744,1,1,1,0
USER_0745,1,1,1,0
USER_0746,1,3,3,2
USER_0747,1,1,2,0
USER_0748,1,4,4,2
USER_0749,4,4,3,1
USER_0750,1,1,1,0
USER_0751,1,2,2,0
USER_0752,4,1,2,3
USER_0753,2,1,1,0
USER_0754,2,1,1,0
USER_0755,3,2,3,1
USER_0756,3,4,4,1
USER_0757,1,1,1,0
USER_0758,2,2,2,0
USER_0759,2,2,2,0
USER_0760,2,2,2,0
USER_0761,3,1,2,3
USER_0762,4,3,3,1
USER_0763,4,2,1,3
USER_0764,3,1,1,3
USER_0765,1,3,3,2
USER_0766,3,3,3,1
USER_0767,3,1,1,3
USER_0768,4,2,3,1
USER_0769,1,2,2,0
USER_0770,2,2,2,0
USER_0771,2,3,3,2
USER_0772,2,4,4,2
USER_0773,3,2,2,3
USER_0774,1,1,1,0
USER_0775,2,1,1,0
USER_0776,2,3,3,2
USER_0777,4,1,2,3
USER_0778,3,4,4,1
USER_0779,1,3,3,2
USER_0780,1,3,3,2
USER_0781,3,1,1,3
USER_0782,2,1,1,0
USER_0783,4,3,3,1
USER_0784,2,3,3,2
USER_0785,3,3,3,1
USER_0786,1,3,3,2
USER_0787,4,2,2,3
USER_0788,3,3,3,1
USER_0789,2,3,3,2
USER_0790,3,3,3,1
USER_0791,1,2,2,0
USER_0792,1,2,3,2
USER_0793,4,3,3,1
USER_0794,4,3,3,1
USER_0795,1,3,3,2
USER_0796,2,1,1,0
USER_0797,2,2,2,0
USER_0798,2,1,1,0
USER_0799,3,4,4,1
USER_0800,2,4,4,2
USER_0801,4,2,3,1
USER_0802,2,3,3,2
USER_0803,2,1,1,0
USER_0804,4,1,2,3
USER_0805,4,3,3,1
USER_0806,4,4,4,1
USER_0807,4,2,2,3
USER_0808,1,1,2,0
USER_0809,3,1,1,3
USER_0810,2,2,2,0
USER_0811,2,1,1,0
USER_0812,3,3,3,1
USER_0813,2,2,2,0
USER_0814,3,2,2,3
USER_0815,1,2,2,0
USER_0816,2,3,3,2
USER_0817,2,2,2,0
USER_0818,1,2,2,0
USER_0819,2,1,1,0
USER_0820,4,2,3,1
USER_0821,1,1,1,0
USER_0822,3,1,2,3
USER_0823,2,1,1,0
USER_0824,3,3,2,1
USER_0825,1,2,3,2
USER_0826,4,3,3,1
USER_0827,1,1,2,0
USER_0828,4,2,2,3
USER_0829,4,3,3,1
USER_0830,4,3,3,1
USER_0831,1,1,2,0
USER_0832,1,3,3,2
USER_0833,4,4,4,1
USER_0834,1,3,3,2
USER_0835,3,3,3,1
USER_0836,1,1,1,0
USER_0837,4,3,3,1
USER_0838,2,1,1,0
USER_0839,1,2,2,0
USER_0840,1,2,2,0
USER_0841,2,1,1,0
USER_0842,2,1,2,0
USER_0843,3,1,1,3
USER_0844,2,1,2,0
USER_0845,4,1,1,3
USER_0846,2,2,2,0
USER_0847,3,1,1,3
USER_0848,2,2,2,0
USER_0849,1,1,1,0
USER_0850,4,4,4,1
USER_0851,2,2,2,0
USER_0852,3,1,1,3
USER_0853,3,2,2,3
USER_0854,2,2,2,0
USER_0855,2,2,1,0
USER_0856,4,2,3,1
USER_0857,3,2,2,3
USER_0858,1,1,1,0
USER_0859,3,2,1,3
USER_0860,4,1,1,3
USER_0861,2,1,1,0
USER_0862,2,1,2,0
USER_0863,4,2,3,1
USER_0864,2,3,3,2
USER_0865,1,3,3,2
USER_0866,1,2,2,0
USER_0867,1,3,3,2
USER_0868,4,1,2,3
USER_0869,3,4,4,1
USER_0870,1,3,4,2
USER_0871,4,2,3,1
USER_0872,1,2,3,2
USER_0873,4,1,1,3
USER_0874,1,3,3,2
USER_0875,1,3,3,2
USER_0876,1,3,3,2
USER_0877,1,1,1,0
USER_0878,4,3,3,1
USER_0879,3,3,3,1
USER_0880,1,3,3,2
USER_0881,1,1,1,0
USER_0882,1,2,2,0
USER_0883,3,1,2,3
USER_0884,4,2,2,3
USER_0885,4,1,1,3
USER_0886,1,1,1,0
USER_0887,2,2,2,0
USER_0888,3,2,2,3
USER_0889,1,2,3,2
USER_0890,1,2,2,0
USER_0891,3,3,3,1
USER_0892,4,1,1,3
USER_0893,2,1,1,0
USER_0894,4,1,1,3
USER_0895,2,3,3,2
USER_0896,2,2,1,0
USER_0897,1,1,1,0
USER_0898,1,2,2,0
USER_0899,1,4,3,2
USER_0900,2,2,2,0
USER_0901,1,2,3,2
USER_0902,4,3,3,1
USER_0903,2,1,1,0
USER_0904,1,3,3,2
USER_0905,4,2,2,3
USER_0906,4,3,3,1
USER_0907,4,2,3,1
USER_0908,3,4,3,1
USER_0909,2,1,1,0
USER_0910,2,2,2,0
USER_0911,2,1,1,0
USER_0912,3,2,2,3
USER_0913,1,1,1,0
USER_0914,3,3,3,1
USER_0915,1,1,1,0
USER_0916,1,3,3,2
USER_0917,1,2,2,0
USER_0918,1,2,1,0
USER_0919,3,2,2,3
USER_0920,1,1,1,0
USER_0921,2,1,1,0
USER_0922,1,1,1,0
USER_0923,4,1,1,3
USER_0924,4,3,4,1
USER_0925,2,1,2,0
USER_0926,2,2,2,0
USER_0927,4,2,2,3
USER_0928,1,2,2,0
USER_0929,4,1,1,3
USER_0930,2,2,3,2
USER_0931,1,1,1,0
USER_0932,1,1,2,0
USER_0933,2,2,3,2
USER_0934,2,3,3,2
USER_0935,2,2,2,0
USER_0936,2,1,2,0
USER_0937,4,2,2,3
USER_0938,4,4,4,1
USER_0939,1,1,1,0
USER_0940,3,1,1,3
USER_0941,1,2,1,0
USER_0942,4,3,2,1
USER_0943,1,2,2,0
USER_0944,2,1,2,0
USER_0945,3,2,2,3
USER_0946,4,3,3,1
USER_0947,1,2,3,2
USER_0948,1,1,2,0
USER_0949,3,4,4,1
USER_0950,3,1,1,3
USER_0951,3,1,1,3
USER_0952,2,3,3,2
USER_0953,1,3,3,2
USER_0954,1,2,2,0
USER_0955,1,2,2,0
USER_0956,2,3,3,2
USER_0957,1,1,1,0
USER_0958,1,3,3,2
USER_0959,2,3,3,2
USER_0960,2,2,1,0
USER_0961,1,3,3,2
USER_0962,2,1,1,0
USER_0963,2,1,1,0
USER_0964,1,2,1,0
USER_0965,2,3,2,2
USER_0966,2,2,1,0
USER_0967,3,2,1,3
USER_0968,2,2,2,0
USER_0969,3,1,1,3
USER_0970,4,3,2,1
USER_0971,4,3,3,1
USER_0972,4,1,1,3
USER_0973,2,2,2,0
USER_0974,2,1,1,0
USER_0975,4,2,2,3
USER_0976,3,1,1,3
USER_0977,2,1,1,0
USER_0978,1,3,2,2
USER_0979,4,1,2,3
USER_0980,1,2,2,0
USER_0981,3,1,1,3
USER_0982,1,2,2,0
USER_0983,3,3,3,1
USER_0984,3,2,1,3
USER_0985,1,3,3,2
USER_0986,4,1,1,3
USER_0987,4,1,1,3
USER_0988,4,2,2,3
USER_0989,3,3,3,1
USER_0990,1,2,2,0
USER_0991,4,2,2,3
USER_0992,4,3,3,1
USER_0993,2,1,1,0
USER_0994,1,3,3,2
USER_0995,1,2,2,0
USER_0996,4,3,3,1
USER_0997,1,1,1,0
USER_0998,2,3,3,2
USER_0999,2,1,1,0
USER_1000,3,3,3,1
USER_1001,3,1,1,3
USER_1002,3,3,3,1
USER_1003,3,2,3,1
USER_1004,2,2,2,0
USER_1005,3,1,1,3
USER_1006,3,3,3,1
USER_1007,1,2,2,0
USER_1008,4,2,3,1
USER_1009,1,1,1,0
USER_1010,1,3,3,2
USER_1011,4,2,2,3
USER_1012,4,3,3,1
USER_1013,3,2,2,3
USER_1014,2,1,1,0
USER_1015,2,2,3,2
USER_1016,1,1,2,0
USER_1017,2,2,2,0
USER_1018,1,3,3,2
USER_1019,2,1,1,0
USER_1020,1,1,1,0
USER_1021,2,2,2,0
USER_1022,3,1,1,3
USER_1023,2,2,2,0
USER_1024,3,3,3,1
USER_1025,2,2,2,0
USER_1026,1,1,1,0
USER_1027,2,2,2,0
USER_1028,4,2,2,3
USER_1029,1,1,1,0
USER_1030,1,2,2,0
USER_1031,3,1,1,3
USER_1032,1,1,1,0
USER_1033,2,1,1,0
USER_1034,2,1,2,0
USER_1035,4,2,3,1
USER_1036,3,3,3,1
USER_1037,1,1,2,0
USER_1038,3,1,1,3
USER_1039,1,1,1,0
USER_1040,3,3,2,1
USER_1041,3,1,1,3
USER_1042,1,1,2,0
USER_1043,3,1,1,3
USER_1044,1,1,2,0
USER_1045,3,3,3,1
USER_1046,2,2,2,0
USER_1047,1,1,1,0
USER_1048,4,3,3,1
USER_1049,2,3,3,2
USER_1050,4,3,3,1
USER_1051,3,2,1,3
USER_1052,4,3,3,1
USER_1053,2,3,3,2
USER_1054,2,1,1,0
USER_1055,2,3,3,2
USER_1056,3,3,4,1
USER_1057,4,1,1,3
USER_1058,4,2,2,3
USER_1059,1,3,3,2
USER_1060,2,3,3,2
USER_1061,1,3,3,2
USER_1062,4,4,4,1
USER_1063,1,2,1,0
USER_1064,1,3,3,2
USER_1065,3,2,3,1
USER_1066,2,3,3,2
USER_1067,2,2,2,0
USER_1068,4,3,3,1
USER_1069,3,3,3,1
USER_1070,4,2,2,3
USER_1071,1,1,2,0
USER_1072,1,1,1,0
USER_1073,4,2,2,3
USER_1074,3,1,1,3
USER_1075,4,3,3,1
USER_1076,4,3,3,1
USER_1077,4,3,4,1
USER_1078,3,2,3,1
USER_1079,4,3,3,1
USER_1080,1,2,2,0
USER_1081,4,4,4,1
USER_1082,2,3,3,2
USER_1083,1,3,3,2
USER_1084,2,3,3,2
USER_1085,1,1,1,0
USER_1086,2,2,2,0
USER_1087,4,3,3,1
USER_1088,4,2,3,1
USER_1089,2,2,2,0
USER_1090,2,2,1,0
USER_1091,1,1,1,0
USER_1092,4,2,2,3
USER_1093,3,2,2,3
USER_1094,2,2,2,0
USER_1095,1,2,1,0
USER_1096,1,1,1,0
USER_1097,1,1,2,0
USER_1098,2,3,3,2
USER_1099,2,2,2,0
USER_1100,3,1,1,3
USER_1101,1,2,2,0
USER_1102,2,2,3,2
USER_1103,2,3,3,2
USER_1104,1,3,3,2
USER_1105,3,1,1,3
USER_1106,1,3,3,2
USER_1107,4,2,3,1
USER_1108,1,2,3,2
USER_1109,2,2,1,0
USER_1110,3,3,3,1
USER_1111,1,1,2,0
USER_1112,1,3,3,2
USER_1113,3,2,2,3
USER_1114,1,3,3,2
USER_1115,3,2,3,1
USER_1116,2,3,3,2
USER_1117,4,4,4,1
USER_1118,1,2,1,0
USER_1119,1,1,1,0
USER_1120,3,1,2,3
USER_1121,3,4,4,1
USER_1122,4,2,2,3
USER_1123,3,2,2,3
USER_1124,2,2,2,0
USER_1125,3,1,1,3
USER_1126,4,1,1,3
USER_1127,1,1,1,0
USER_1128,2,1,1,0
USER_1129,2,2,2,0
USER_1130,3,2,2,3
USER_1131,4,2,3,1
USER_1132,4,1,1,3
USER_1133,1,1,1,0
USER_1134,2,1,1,0
USER_1135,4,1,1,3
USER_1136,3,2,2,3
USER_1137,2,2,2,0
USER_1138,2,3,3,2
USER_1139,3,1,1,3
USER_1140,3,3,3,1
USER_1141,1,1,2,0
USER_1142,1,1,1,0
USER_1143,3,3,3,1
USER_1144,2,1,1,0
USER_1145,4,2,2,3
USER_1146,1,2,1,0
USER_1147,2,1,1,0
USER_1148,3,2,2,3
USER_1149,1,4,3,2
USER_1150,4,3,3,1
USER_1151,3,2,3,1
USER_1152,4,3,3,1
USER_1153,2,2,2,0
USER_1154,4,2,2,3
USER_1155,3,2,1,3
USER_1156,1,1,2,0
USER_1157,3,2,1,3
USER_1158,2,3,3,2
USER_1159,2,1,1,0
USER_1160,3,3,3,1
USER_1161,3,2,2,3
USER_1162,3,2,1,3
USER_1163,3,3,3,1
USER_1164,4,3,3,1
USER_1165,2,2,3,2
USER_1166,3,1,2,3
USER_1167,1,3,3,2
USER_1168,2,2,2,0
USER_1169,1,1,2,0
USER_1170,2,2,2,0
USER_1171,4,2,2,3
USER_1172,2,2,2,0
USER_1173,1,2,2,0
USER_1174,4,3,3,1
USER_1175,1,1,1,0
USER_1176,4,3,3,1
USER_1177,2,3,3,2
USER_1178,1,3,3,2
USER_1179,2,2,2,0
USER_1180,1,3,3,2
USER_1181,2,1,1,0
USER_1182,2,3,3,2
USER_1183,4,3,3,1
USER_1184,4,2,2,3
USER_1185,2,4,3,2
USER_1186,4,3,3,1
USER_1187,4,3,3,1
USER_1188,4,2,2,3
USER_1189,1,1,1,0
USER_1190,4,3,3,1
USER_1191,4,3,3,1
USER_1192,3,3,3,1
USER_1193,1,1,2,0
USER_1194,3,2,3,1
USER_1195,3,3,4,1
USER_1196,4,2,3,1
USER_1197,3,3,3,1
USER_1198,1,3,2,2
USER_1199,4,1,2,3
USER_1200,1,3,3,2
USER_1201,1,1,1,0
USER_1202,3,3,3,1
USER_1203,2,4,3,2
USER_1204,1,2,2,0
USER_1205,3,1,2,3
USER_1206,4,1,1,3
USER_1207,4,2,2,3
USER_1208,1,3,3,2
USER_1209,3,1,1,3
USER_1210,1,1,1,0
USER_1211,4,2,3,1
USER_1212,4,2,3,1
USER_1213,4,3,3,1
USER_1214,1,2,2,0
USER_1215,3,2,2,3
USER_1216,4,2,3,1
USER_1217,4,1,2,3
USER_1218,4,4,4,1
USER_1219,3,4,3,1
USER_1220,1,1,1,0
USER_1221,2,4,4,2
USER_1222,1,4,4,2
USER_1223,2,2,2,0
USER_1224,2,3,3,2
USER_1225,4,2,2,3
USER_1226,2,3,3,2
USER_1227,4,1,2,3
USER_1228,3,3,2,1
USER_1229,2,3,3,2
USER_1230,3,3,3,1
USER_1231,1,1,2,0
USER_1232,3,3,3,1
USER_1233,4,2,2,3
USER_1234,4,3,3,1
USER_1235,4,2,1,3
USER_1236,2,3,3,2
USER_1237,4,2,2,3
USER_1238,4,2,3,1
USER_1239,4,3,3,1
USER_1240,1,1,1,0
USER_1241,2,3,2,2
USER_1242,3,2,2,3
USER_1243,4,3,3,1
USER_1244,3,4,3,1
USER_1245,1,1,1,0
USER_1246,2,2,2,0
USER_1247,3,1,2,3
USER_1248,3,3,2,1
USER_1249,1,1,1,0
USER_1250,2,3,3,2
USER_1251,1,1,2,0
USER_1252,4,3,3,1
USER_1253,1,1,1,0
USER_1254,4,1,1,3
USER_1255,2,3,3,2
USER_1256,2,3,3,2
USER_1257,2,1,2,0
USER_1258,1,2,2,0
USER_1259,4,1,1,3
USER_1260,3,1,1,3
USER_1261,4,3,4,1
USER_1262,1,1,2,0
USER_1263,3,2,1,3
USER_1264,2,1,1,0
USER_1265,3,2,2,3
USER_1266,4,3,3,1
USER_1267,4,4,4,1
USER_1268,3,2,3,1
USER_1269,4,1,2,3
USER_1270,1,2,2,0
USER_1271,1,1,1,0
USER_1272,2,1,1,0
USER_1273,1,1,1,0
USER_1274,1,3,3,2
USER_1275,4,1,1,3
USER_1276,1,1,1,0
USER_1277,1,1,1,0
USER_1278,2,3,3,2
USER_1279,1,2,2,0
USER_1280,2,3,3,2
USER_1281,4,1,1,3
USER_1282,1,2,3,2
USER_1283,2,2,2,0
USER_1284,1,1,1,0
USER_1285,3,3,3,1
USER_1286,4,3,3,1
USER_1287,3,3,3,1
USER_1288,2,2,3,2
USER_1289,3,3,3,1
USER_1290,2,2,1,0
USER_1291,1,3,3,2
USER_1292,3,3,4,1
USER_1293,4,2,3,1
USER_1294,3,3,3,1
USER_1295,3,4,4,1
USER_1296,1,1,1,0
USER_1297,1,3,3,2
USER_1298,4,3,3,1
USER_1299,4,2,2,3
USER_1300,2,1,2,0
USER_1301,2,1,1,0
USER_1302,2,3,3,2
USER_1303,1,1,1,0
USER_1304,3,1,1,3
USER_1305,1,1,2,0
USER_1306,2,1,1,0
USER_1307,2,2,1,0
USER_1308,1,2,1,0
USER_1309,4,3,3,1
USER_1310,3,3,3,1
USER_1311,1,1,1,0
USER_1312,4,3,3,1
USER_1313,1,2,2,0
USER_1314,3,3,3,1
USER_1315,1,2,2,0
USER_1316,4,3,3,1
USER_1317,3,3,3,1
USER_1318,2,2,1,0
USER_1319,2,2,3,2
USER_1320,2,1,2,0
USER_1321,1,1,1,0
USER_1322,1,1,1,0
USER_1323,1,2,3,2
USER_1324,2,1,1,0
USER_1325,3,2,3,1
USER_1326,3,1,1,3
USER_1327,1,1,1,0
USER_1328,3,3,3,1
USER_1329,3,2,2,3
USER_1330,1,2,2,0
USER_1331,3,3,3,1
USER_1332,2,1,1,0
USER_1333,2,2,2,0
USER_1334,3,3,2,1
USER_1335,2,1,1,0
USER_1336,4,4,3,1
USER_1337,1,1,2,0
USER_1338,3,3,3,1
USER_1339,3,2,2,3
USER_1340,3,2,2,3
USER_1341,3,3,3,1
USER_1342,2,2,2,0
USER_1343,4,3,3,1
USER_1344,3,4,3,1
USER_1345,2,1,1,0
USER_1346,1,1,1,0
USER_1347,1,2,2,0
USER_1348,4,4,4,1
USER_1349,1,2,2,0
USER_1350,1,1,2,0
USER_1351,1,2,2,0
USER_1352,2,1,1,0
USER_1353,1,3,3,2
USER_1354,1,3,3,2
USER_1355,4,4,4,1
USER_1356,4,2,1,3
USER_1357,2,1,1,0
USER_1358,1,4,4,2
USER_1359,1,2,2,0
USER_1360,2,1,1,0
USER_1361,3,3,3,1
USER_1362,1,3,3,2
USER_1363,3,1,1,3
USER_1364,3,1,2,3
USER_1365,4,3,3,1
USER_1366,2,3,3,2
USER_1367,1,2,1,0
USER_1368,1,1,1,0
USER_1369,1,1,2,0
USER_1370,1,2,2,0
USER_1371,4,3,3,1
USER_1372,3,2,2,3
USER_1373,3,1,2,3
USER_1374,3,3,3,1
USER_1375,4,4,4,1
USER_1376,1,3,3,2
USER_1377,2,2,2,0
USER_1378,1,3,3,2
USER_1379,4,3,2,1
USER_1380,2,2,2,0
USER_1381,1,2,3,2
USER_1382,4,3,4,1
USER_1383,2,1,1,0
USER_1384,1,1,1,0
USER_1385,4,1,1,3
USER_1386,1,2,2,0
USER_1387,2,1,1,0
USER_1388,1,3,3,2
USER_1389,2,1,1,0
USER_1390,3,3,3,1
USER_1391,4,3,3,1
USER_1392,1,3,3,2
USER_1393,4,3,3,1
USER_1394,1,3,3,2
USER_1395,1,3,3,2
USER_1396,1,1,1,0
USER_1397,4,3,3,1
USER_1398,1,3,3,2
USER_1399,1,1,1,0
USER_1400,2,2,1,0
USER_1401,3,1,2,3
USER_1402,2,1,2,0
USER_1403,1,3,3,2
USER_1404,1,3,3,2
USER_1405,3,1,1,3
USER_1406,1,2,2,0
USER_1407,4,3,3,1
USER_1408,4,1,1,3
USER_1409,2,1,1,0
USER_1410,3,1,1,3
USER_1411,4,4,4,1
USER_1412,1,3,3,2
USER_1413,2,1,1,0
USER_1414,2,1,1,0
USER_1415,4,3,3,1
USER_1416,3,1,2,3
USER_1417,2,1,1,0
USER_1418,2,2,2,0
USER_1419,3,3,3,1
USER_1420,1,2,1,0
USER_1421,1,2,2,0
USER_1422,4,3,3,1
USER_1423,3,3,3,1
USER_1424,3,2,2,3
USER_1425,3,2,2,3
USER_1426,4,2,2,3
USER_1427,2,2,2,0
USER_1428,1,2,2,0
USER_1429,3,3,2,1
USER_1430,3,3,3,1
USER_1431,1,1,1,0
USER_1432,2,4,4,2
USER_1433,3,4,4,1
USER_1434,1,2,2,0
USER_1435,4,3,3,1
USER_1436,3,2,2,3
USER_1437,1,1,1,0
USER_1438,3,1,1,3
USER_1439,4,3,3,1
USER_1440,1,3,3,2
USER_1441,3,2,1,3
USER_1442,2,3,3,2
USER_1443,2,2,2,0
USER_1444,2,2,2,0
USER_1445,4,3,3,1
USER_1446,3,3,2,1
USER_1447,3,1,1,3
USER_1448,1,1,1,0
USER_1449,4,2,2,3
USER_1450,4,2,3,1
USER_1451,3,3,3,1
USER_1452,2,2,2,0
USER_1453,3,3,3,1
USER_1454,1,1,1,0
USER_1455,3,2,2,3
USER_1456,3,2,3,1
USER_1457,2,1,1,0
USER_1458,3,1,1,3
USER_1459,4,3,3,1
USER_1460,4,3,3,1
USER_1461,4,2,3,1
USER_1462,2,1,1,0
USER_1463,1,1,1,0
USER_1464,3,3,3,1
USER_1465,2,1,1,0
USER_1466,3,1,1,3
USER_1467,3,3,3,1
